fid,gfk,bezgfk,ofl,bezofl,aog,aug,hoh,bat,bezbat,nam,baw,bezbaw,zus,bezzus,gkn,des,bezdes,lag,namlag,hnr,pnr,lnr,bezeich,uuid,id,gmlid,gmlid_code,name,name_codes,descriptio,creation_d,terminatio,relative_t,relative_1,last_modif,updating_p,reason_for,lineage,building_i
955,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004030810005","4200",Aus Katasterkarten digitalisiert,"03081, 04418","Mindener Straße 5; Tauroggener Straße 39",,,,AX_Gebaeude,DEBE04YY50000COa,1479,UUID_c21bb9fb-e6d4-48de-9fc3-efdefee8ec56,,,,,2024/02/05 04:16:19.598,,,,2024/02/05 04:16:19.598,citydb_user,,,1457
956,"1010",Wohnhaus,,,"7",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004042020018","4200",Aus Katasterkarten digitalisiert,"04202",Sömmeringstraße 18,"18",,,AX_Gebaeude,DEBE04YY50000BEo,2213,DEB_LOD2_UUID_1399c232-0508-4c91-8487-edd1381e48fc_0ed40979-4e26-4277-a44f-8a81275cb51a,,,,,2024/02/05 04:16:21.156,,,,2024/02/05 04:16:21.156,citydb_user,,,2151
957,"2120",Werkstatt,,,"2",,,,,,,,,,"11000004021430020","4200",Aus Katasterkarten digitalisiert,"02143",Ilsenburger Straße,,"20","2",AX_Gebaeude,DEBE04YY50000QML,3075,DEB_LOD2_UUID_a6076168-8ad3-4381-9aae-a72c69eb2b53_014ac851-2c65-40bb-b4c6-867ba27d86ba,,,,,2024/02/05 04:16:21.853,,,,2024/02/05 04:16:21.853,citydb_user,,,3009
958,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004018380002","4200",Aus Katasterkarten digitalisiert,"01838, 02143, 03266","Harlingeroder Weg 2, 6, 8, 10, 12; Ilsenburger Straße 11, 12; Nordhauser Straße 32, 33, 34, 35, 32A, 34A; Wernigeroder Straße 5, 7",,,,AX_Gebaeude,DEBE04YY5000099k,,,,,,,,,,,,,,,
959,"2020",Bürogebäude,,,"3",,,,,,,,,,"11000004021430020","4200",Aus Katasterkarten digitalisiert,"02143",Ilsenburger Straße,,"20","6",AX_Gebaeude,DEBE04YY500004br,2292,DEB_LOD2_UUID_17753fde-1ee2-4fa5-bbde-78b3bef038f8_3d481c56-8b85-4622-9082-56227f8b35a6,,,,,2024/02/05 04:16:21.241,,,,2024/02/05 04:16:21.241,citydb_user,,,2150
960,"2054",Laden,,,"2",,,,,,,,,,"11000004051340002","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"2","1",AX_Gebaeude,DEBE04YY50000O2q,2451,DEB_LOD2_UUID_38c40c36-dd08-4cb4-ad3c-2c9a2c8f2425_693922f6-1874-49c9-8851-333267a62fba,,,,,2024/02/05 04:16:21.396,,,,2024/02/05 04:16:21.396,citydb_user,,,2236
961,"1022",Seniorenheim,,,"6",,,,,,,,,,"11000004051340021","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße 21,"21",,,AX_Gebaeude,DEBE04YY50000Ono,1563,UUID_9ba4a185-96e0-4b06-b88d-0815d35de6c6,,,,,2024/02/05 04:16:19.801,,,,2024/02/05 04:16:19.801,citydb_user,,,1558
962,,,,,,,,"2610",Durchfahrt im Gebäude,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YN6,1908,UUID_25e5f707-dfb2-4462-8d4a-9161c9046bf5,,,,,2024/02/05 04:16:20.267,,,,2024/02/05 04:16:20.267,citydb_user,,,1887
963,"2143","Lagerhalle, Lagerschuppen, Lagerhaus",,,"1",,,,,,,,,,"11000004022890083","4200",Aus Katasterkarten digitalisiert,"02289",Kaiserin-Augusta-Allee,,"83","1",AX_Gebaeude,DEBE04YY500005Am,1012,UUID_e0529ba8-bfbd-4be3-8fdb-7320cf911f88,,,,,2024/02/05 04:16:18.356,,,,2024/02/05 04:16:18.356,citydb_user,,,992
964,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Bwu,1565,UUID_5fe264d9-eb7f-4bbb-b190-cc23c86927b1,,,,,2024/02/05 04:16:19.801,,,,2024/02/05 04:16:19.801,citydb_user,,,1557
